Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Akkermansia_muciniphila_ATCC_BAA-835	3247	-	-	1155
Alistipes_putredinis	272397	15670	11972	29692
Anaerotruncus_colihominis	164051	147646	63131	171556
Bacteroides_caccae	451265	182753	175909	477822
Bacteroides_capillosus	72176	14817	12249	64121
Bacteroides_cellulosilyticus	94468	154528	106308	193321
Bacteroides_coprocola	0	-	-	-
Bacteroides_coprophilus	220031	468854	132397	296917
Bacteroides_dorei	1893837	924406	780382	2354673
Bacteroides_eggerthii	4005160	1198955	2195856	4213224
Bacteroides_finegoldii	227170	109525	35256	293106
Bacteroides_fragilis_3_1_12	497801	240884	126135	541414
Bacteroides_fragilis_NCTC_9343	106095	95971	7635	285471
Bacteroides_fragilis_YCH46	82930	48368	60394	133673
Bacteroides_intestinalis	380696	68607	0	239240
Bacteroides_ovatus	2410400	80825	382555	2825679
Bacteroides_pectinophilus	68461	45658	1089	67633
Bacteroides_plebeius	185966	68297	57714	230903
Bacteroides_sp_1_1_6	4199060	170328	948088	4423419
Bacteroides_sp_2_1_7	411759	88705	72331	604198
Bacteroides_sp_2_2_4	1309003	126629	226665	1542087
Bacteroides_sp_3_2_5	337251	85401	74306	422620
Bacteroides_sp_4_3_47FAA	2750988	2697387	2198751	2197251
Bacteroides_sp_9_1_42FAA	1104673	286072	410198	1084402
Bacteroides_sp_D1	1929982	58028	195014	1754299
Bacteroides_sp_D4	1170514	262762	375245	1217460
Bacteroides_sp_XB1A	1393596	54343	114523	1135357
Bacteroides_sp__4_3_47FAA	2748778	1248170	2052446	2554722
Bacteroides_sp__9_1_42FAA	1340562	568790	334871	1165608
Bacteroides_stercoris	119844	60251	88438	118033
Bacteroides_thetaiotaomicron_VPI-5482	2994025	109798	307612	2556144
Bacteroides_uniformis	4368578	4203370	2615939	4786572
Bacteroides_vulgatus_ATCC_8482	3618025	2204443	2080584	3242473
Bifidobacterium_pseudocatenulatum	11858	3415	-	10486
Blautia_hansenii	88018	43886	25405	62139
Bryantella_formatexigens	227716	31097	1695	172408
Butyrivibrio_crossotus	872901	114746	79247	808908
Catenibacterium_mitsuokai	15829	7690	2354	6159
Clostridium_asparagiforme	255551	12086	12443	54275
Clostridium_bartlettii	29076	5654	5882	43606
Clostridium_bolteae	293468	93079	51801	168957
Clostridium_leptum	19937	15775	8134	21889
Clostridium_methylpentosum	258599	24997	5521	12319
Clostridium_nexile	649035	100558	65975	347006
Clostridium_scindens	45827	10543	7871	63356
Clostridium_sp_L2-50	795501	89070	61317	620156
Collinsella_aerofaciens	0	-	-	0
Coprococcus_comes	847574	180525	110370	958773
Coprococcus_eutactus	571976	64362	11144	261040
Dorea_formicigenerans	1020115	183368	70027	469253
Dorea_longicatena	353052	83119	34457	360506
Enterococcus_faecalis_TX0104	157137	7531	2685	17272
Eubacterium_biforme	320415	89156	36017	170578
Eubacterium_hallii	387690	113267	28053	526663
Eubacterium_rectale_M104_1	1459141	401264	91169	1244225
Eubacterium_siraeum	18373	7379	13305	21238
Eubacterium_ventriosum	551483	48054	24532	444302
Faecalibacterium_prausnitzii_SL3_3	2386643	320499	321886	2129879
Holdemania_filiformis	169853	46658	5186	125929
Mollicutes_bacterium_D7	144540	3996	1211	23919
Parabacteroides_distasonis_ATCC_8503	788609	308196	13441	437631
Parabacteroides_johnsonii	105000	72165	53677	104100
Parabacteroides_merdae	500159	169951	51222	192181
Prevotella_copri	534551	73412	30348	207638
Roseburia_intestinalis_M50_1	3971789	449017	216937	3732206
Ruminococcus_bromii_L2-63	933488	59363	37842	405429
Ruminococcus_gnavus	218290	57165	23750	177255
Ruminococcus_lactaris	1540852	247774	20357	978785
Ruminococcus_obeum_A2-162	600267	156495	54184	547110
Ruminococcus_torques_L2-14	707820	143504	81108	634345
Subdoligranulum_variabile	253181	24292	17421	183719
