All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     Gold_Assembly    IDBA_UD          Ray              SOAPdenovo2      SPAdes          
# contigs (>= 0 bp)          20004            17716            17884            28240            19945           
# contigs (>= 1000 bp)       9713             9863             6814             13327            10383           
# contigs (>= 5000 bp)       2676             2109             1162             1848             2190            
# contigs (>= 10000 bp)      1360             1116             687              700              1166            
# contigs (>= 25000 bp)      491              445              318              113              437             
# contigs (>= 50000 bp)      203              193              155              22               169             
Total length (>= 0 bp)       88077239         71707572         52656365         53726740         72643866        
Total length (>= 1000 bp)    80954951         66269212         45124735         43342137         66084435        
Total length (>= 5000 bp)    66609038         50077730         34912924         21341840         49170265        
Total length (>= 10000 bp)   57307002         43171375         31611613         13399664         42077060        
Total length (>= 25000 bp)   43872072         32595589         25609380         4811011          30569801        
Total length (>= 50000 bp)   33989240         23949778         19860544         1795083          21248231        
# contigs                    20004            17716            17884            28240            19945           
Largest contig               2780101          800397           560953           202548           514709          
Total length                 88077239         71707572         52656365         53726740         72643866        
Reference length             95264179         95264179         95264179         95264179         95264179        
N50                          24752            19377            23276            3140             16577           
N75                          5231             3548             2055             1211             3116            
L50                          498              594              348              3259             719             
L75                          2569             2995             2678             10554            3544            
# misassemblies              342              1405             187              58               1017            
# misassembled contigs       194              1223             112              57               905             
Misassembled contigs length  8337812          11587897         7268287          267742           10550406        
# local misassemblies        134              122              168              44               115             
# structural variations      111              64               63               21               60              
# unaligned contigs          8478 + 235 part  4169 + 884 part  3493 + 139 part  6016 + 544 part  4481 + 1624 part
Unaligned length             20317452         15974764         14066938         11754630         16281580        
Genome fraction (%)          72.964           63.117           39.756           48.373           64.421          
Duplication ratio            1.127            1.021            1.056            1.002            1.020           
# N's per 100 kbp            0.14             0.00             11.53            44.16            9.43            
# mismatches per 100 kbp     337.40           395.63           431.25           363.48           551.76          
# indels per 100 kbp         11.40            11.50            12.97            25.17            12.66           
Largest alignment            2780101          800397           560953           202541           505955          
NA50                         11158            6120             2333             1770             4993            
NA75                         524              552              -                573              543             
LA50                         989              1311             1588             4941             1638            
LA75                         11367            12711            -                19116            14352           
