Assemblies	IDBA_UD	Ray-2.3.1	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	3101	729	869	2222
Actinomyces_odontolyticus	2851	8194	4239	3705
Actinomyces_sp_ph3	3610	5200	4424	6946
Atopobium_parvulum	2922	431523	783	2746
Campylobacter_concisus_13826	36115	3310	9142	19129
Campylobacter_concisus_UNSWCD	42175	2409	8628	20312
Clostridiales_bacterium_OBRC5-5	3715	825	1025	3336
Fusobacterium_periodonticum_ATCC_33693	24388	40495	26233	30338
Fusobacterium_periodonticum_D10	26520	40495	19527	29418
Gemella_sanguinis_M325	5505	26948	1505	17911
Haemophilus_parainfluenzae_ATCC_33392	1807	40900	836	9622
Haemophilus_parainfluenzae_HK262	1704	51621	880	9564
Neisseria_subflava	169548	151751	113192	142442
Oribacterium_sinus_F0268	31485	33646	50058	27997
Prevotella_nanceiensis	152061	12357	33764	114420
Prevotella_pallens_ATCC_700821	62839	19479	41998	47152
Rothia_dentocariosa	946	198752	677	925
Rothia_mucilaginosa_DY-18	7025	112466	1003	23860
Streptococcus_australis	2828	58463	1006	2366
Streptococcus_australis_ATCC_700641	3910	21832	1461	3714
Streptococcus_infantis_X	1452	23892	1317	1576
Streptococcus_parasanguinis_ATCC_15912	1449	17473	1549	2334
Streptococcus_salivarius_57I	1870	15018	1194	3985
Streptococcus_salivarius_K12	1869	14067	1245	5830
Veillonella_atypica_KON	876	11323	2140	810
Veillonella_dispar_ATCC_17748	4054	11998	2743	3256
Veillonella_sp_oral_taxon_158	2239	22583	1497	3454
not_aligned	1920	5376	2161	1912
