Assemblies	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Actinomyces_graevenitzii_F0530	66575	768	3115	54403
Actinomyces_odontolyticus	16479	20516	18009	24954
Actinomyces_sp_ph3	25779	46011	7396	83573
Atopobium_parvulum	20651	2624	2143	23258
Campylobacter_concisus_13826	548245	35101	11761	273552
Campylobacter_concisus_UNSWCD	611159	39382	51509	246851
Clostridiales_bacterium_OBRC5-5	107992	5287	3141	111350
Fusobacterium_periodonticum_ATCC_33693	244486	252753	83888	187803
Fusobacterium_periodonticum_D10	1494028	1944569	1121650	1453907
Gemella_sanguinis_M325	153846	913838	2689	649316
Haemophilus_parainfluenzae_ATCC_33392	31319	103846	6363	235102
Haemophilus_parainfluenzae_HK262	1986	23763	1184	133364
Neisseria_subflava	1829271	2127664	1394888	1620603
Oribacterium_sinus_F0268	470099	642415	196771	628382
Prevotella_nanceiensis	2081286	376775	897858	1784864
Prevotella_pallens_ATCC_700821	15004	507	11250	20306
Rothia_dentocariosa	11754	0	0	3809
Rothia_mucilaginosa_DY-18	48637	1592707	0	465360
Streptococcus_australis	825	179866	0	30076
Streptococcus_australis_ATCC_700641	63429	127568	4175	126920
Streptococcus_infantis_X	7675	314617	0	30955
Streptococcus_parasanguinis_ATCC_15912	43553	297020	1032	75643
Streptococcus_salivarius_57I	29179	508578	6778	239131
Streptococcus_salivarius_K12	38165	459157	6873	178828
Veillonella_atypica_KON	9340	502	1508	4970
Veillonella_dispar_ATCC_17748	13622	132113	5007	23398
Veillonella_sp_oral_taxon_158	79377	1095179	33947	83280
