Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	74984	46742	1591	4028	41118
Brevibacterium_casei_S18	74984	21741	1591	4028	16031
Burkholderia_mallei_ATCC_10399	31717	21623	1574	3036	12405
Burkholderia_pseudomallei	28158	32390	1574	3284	112862
Chloroflexi_bacterium_SCGC_AB-629-P13	82622	82584	82616	68949	97305
Clostridium_sp_M621	556320	241774	242734	1346	235338
Enterobacteriaceae_bacterium_LSJC7	365371	71692	3457	15914	71456
Eubacterium_sp_3_1_31	679003	489962	490164	5668	514709
Formosa_sp_AK20	901072	552496	22803	61821	506133
Geobacillus_sp_JF8	2780101	129380	6009	31946	156247
Lachnospiraceae_bacterium_2_1_46FAA	19941	89947	3356	17581	48098
Lachnospiraceae_bacterium_3-2	33667	33144	3526	6470	22474
Paenibacillus_peoriae	205290	146300	146299	5594	146301
Patulibacter_americanus_DSM_16676	888872	800397	560953	40778	311540
Patulibacter_medicamentivorans	100092	100092	454778	66697	100092
Rhodobacter_sp_AKP1	3535	17646	-	1067	30167
Rhodobacter_sphaeroides	3535	17153	564	1333	34515
Sphingobium_yanoikuyae_ATCC_51230	8270	21474	1771	3792	14461
Sphingopyxis_sp_MC1	3526	36310	524	816	50890
Thermus_sp_CCB_US3_UF1	2243761	486791	486984	202548	486704
Weissella_koreensis_KACC_15510	8972	12581	1248	5062	8971
alpha_proteobacterium_LLX12A	143040	28881	3154	7658	49165
gamma_proteobacterium_SCGC_AAA076-D02	154049	154002	266465	14975	168892
marine_gamma_proteobacterium_HTCC2080	465765	315244	315243	1240	453618
