Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	3623092	2833024	71344	1101157	2916180
Brevibacterium_casei_S18	3623092	2801429	71344	1105843	2891889
Burkholderia_mallei_ATCC_10399	5004123	2585066	14086	426279	2650617
Burkholderia_pseudomallei	3248528	1978680	10670	359911	2348817
Chloroflexi_bacterium_SCGC_AB-629-P13	840043	837243	891484	828966	860918
Clostridium_sp_M621	964024	262329	242734	3650	303624
Enterobacteriaceae_bacterium_LSJC7	4607095	4592978	1457547	4038065	4640644
Eubacterium_sp_3_1_31	6155820	3105721	3114933	417724	3088772
Formosa_sp_AK20	3050805	3040675	2779237	3001846	3030044
Geobacillus_sp_JF8	3486242	3379597	2231388	3205107	3325382
Lachnospiraceae_bacterium_2_1_46FAA	4221032	2173042	743048	1955578	2163655
Lachnospiraceae_bacterium_3-2	4267498	3519317	65534	1142152	3355784
Paenibacillus_peoriae	4958761	4986408	5009957	1638928	4977064
Patulibacter_americanus_DSM_16676	4470204	4460700	4707201	4337822	4449038
Patulibacter_medicamentivorans	5073854	5115381	5664723	4982065	5173923
Rhodobacter_sp_AKP1	582539	129353	-	1067	265613
Rhodobacter_sphaeroides	712757	135801	0	2400	302281
Sphingobium_yanoikuyae_ATCC_51230	41605	678549	7517	77505	618372
Sphingopyxis_sp_MC1	1173763	420763	0	0	644504
Thermus_sp_CCB_US3_UF1	2263465	2230402	2234789	2189114	2210494
Weissella_koreensis_KACC_15510	1131964	478467	1248	37520	424946
alpha_proteobacterium_LLX12A	5912170	5237871	494190	3557238	5226688
gamma_proteobacterium_SCGC_AAA076-D02	1606951	1611413	2016433	927281	1620062
marine_gamma_proteobacterium_HTCC2080	3576049	3570739	3824040	5892	3573507
