Assemblies	Gold_Assembly	IDBA_UD	Ray	SOAPdenovo2	SPAdes
Brevibacterium_casei	0	11886	0	0	0
Brevibacterium_casei_S18	0	218852	0	0	89126
Burkholderia_mallei_ATCC_10399	537661	492292	0	5794	252696
Burkholderia_pseudomallei	202757	48560	0	0	18893
Chloroflexi_bacterium_SCGC_AB-629-P13	0	157090	226327	108350	308240
Clostridium_sp_M621	18151	3874	0	0	3628
Enterobacteriaceae_bacterium_LSJC7	0	98895	1476	4271	110688
Eubacterium_sp_3_1_31	5529524	2881316	2727347	2283	2811363
Formosa_sp_AK20	0	979518	6388	14824	782785
Geobacillus_sp_JF8	0	26795	0	22930	120057
Lachnospiraceae_bacterium_2_1_46FAA	6737	52613	2434	0	3771
Lachnospiraceae_bacterium_3-2	0	93543	0	14697	85856
Paenibacillus_peoriae	1110222	1105783	1086886	7183	1158240
Patulibacter_americanus_DSM_16676	0	2164416	1520106	28461	1147192
Patulibacter_medicamentivorans	0	386544	578770	6135	295491
Rhodobacter_sp_AKP1	0	16565	-	814	12126
Rhodobacter_sphaeroides	8046	7457	0	1333	4024
Sphingobium_yanoikuyae_ATCC_51230	0	96428	0	0	19205
Sphingopyxis_sp_MC1	0	19592	0	0	19514
Thermus_sp_CCB_US3_UF1	0	0	0	0	88127
Weissella_koreensis_KACC_15510	0	8080	0	0	5441
alpha_proteobacterium_LLX12A	0	205128	986	6015	69419
gamma_proteobacterium_SCGC_AAA076-D02	981069	941173	976169	43008	856190
marine_gamma_proteobacterium_HTCC2080	0	74142	74243	0	309681
