Assemblies                             Gold_Assembly  IDBA_UD  Ray    SOAPdenovo2  SPAdes
Brevibacterium_casei                   0.00           0.00     0.00   118.75       0.00  
Brevibacterium_casei_S18               0.00           0.00     3.23   124.70       0.00  
Burkholderia_mallei_ATCC_10399         2.38           0.00     52.51  112.06       0.00  
Burkholderia_pseudomallei              1.51           0.00     0.00   102.98       12.13 
Chloroflexi_bacterium_SCGC_AB-629-P13  0.00           0.00     0.00   1.32         0.00  
Clostridium_sp_M621                    0.00           0.00     0.00   0.00         0.00  
Enterobacteriaceae_bacterium_LSJC7     0.00           0.00     16.27  48.15        42.12 
Eubacterium_sp_3_1_31                  0.00           0.00     1.19   0.00         0.00  
Formosa_sp_AK20                        0.00           0.00     31.14  12.17        12.75 
Geobacillus_sp_JF8                     0.00           0.00     45.64  27.36        43.88 
Lachnospiraceae_bacterium_2_1_46FAA    0.00           0.00     43.05  53.63        0.05  
Lachnospiraceae_bacterium_3-2          0.00           0.00     8.36   104.31       10.38 
Paenibacillus_peoriae                  0.00           0.00     5.88   0.00         1.45  
Patulibacter_americanus_DSM_16676      0.00           0.00     3.40   14.23        1.37  
Patulibacter_medicamentivorans         0.00           0.00     1.55   17.53        0.00  
Rhodobacter_sp_AKP1                    0.00           0.00     -      38.17        0.00  
Rhodobacter_sphaeroides                0.00           0.00     0.00   81.78        0.00  
Sphingobium_yanoikuyae_ATCC_51230      0.00           0.00     84.39  158.87       31.74 
Sphingopyxis_sp_MC1                    0.00           0.00     0.00   49.37        69.59 
Thermus_sp_CCB_US3_UF1                 0.00           0.00     5.91   1.69         0.00  
Weissella_koreensis_KACC_15510         0.00           0.00     0.00   99.42        0.00  
alpha_proteobacterium_LLX12A           0.00           0.00     5.79   99.16        35.06 
gamma_proteobacterium_SCGC_AAA076-D02  0.00           0.00     0.94   0.00         28.13 
marine_gamma_proteobacterium_HTCC2080  0.00           0.00     4.42   0.00         0.00  
